Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:45:44.666000,VER,1,0 days 00:01:33.905000,52.0,2.0,,0 days 02:45:21.756000,0 days 00:00:19.873000,0 days 00:00:36.323000,0 days 00:00:37.709000,0 days 02:44:30.611000,0 days 02:45:06.934000,0 days 02:45:44.643000,199.0,192.0,,278.0,False,MEDIUM,51.0,True,Red Bull Racing,0 days 02:44:10.761000,2024-05-26 14:52:16.150,12,6.0,False,,False,False
0 days 02:47:03.390000,VER,1,0 days 00:01:18.724000,53.0,3.0,0 days 02:45:45.422000,,0 days 00:00:22.321000,0 days 00:00:36.244000,0 days 00:00:20.159000,0 days 02:46:06.964000,0 days 02:46:43.208000,0 days 02:47:03.367000,201.0,194.0,260.0,266.0,False,HARD,2.0,False,Red Bull Racing,0 days 02:45:44.666000,2024-05-26 14:53:50.055,1,6.0,False,,False,False
0 days 02:48:19.205000,VER,1,0 days 00:01:15.815000,54.0,3.0,,,0 days 00:00:19.570000,0 days 00:00:36.049000,0 days 00:00:20.196000,0 days 02:47:22.937000,0 days 02:47:58.986000,0 days 02:48:19.182000,197.0,192.0,259.0,271.0,True,HARD,3.0,False,Red Bull Racing,0 days 02:47:03.390000,2024-05-26 14:55:08.779,1,6.0,False,,False,True
0 days 02:49:34.603000,VER,1,0 days 00:01:15.398000,55.0,3.0,,,0 days 00:00:19.799000,0 days 00:00:35.590000,0 days 00:00:20.009000,0 days 02:48:38.981000,0 days 02:49:14.571000,0 days 02:49:34.580000,203.0,197.0,259.0,265.0,True,HARD,4.0,False,Red Bull Racing,0 days 02:48:19.205000,2024-05-26 14:56:24.594,1,6.0,False,,False,True
0 days 02:50:50.069000,VER,1,0 days 00:01:15.466000,56.0,3.0,,,0 days 00:00:19.655000,0 days 00:00:35.529000,0 days 00:00:20.282000,0 days 02:49:54.235000,0 days 02:50:29.764000,0 days 02:50:50.046000,205.0,195.0,259.0,267.0,False,HARD,5.0,False,Red Bull Racing,0 days 02:49:34.603000,2024-05-26 14:57:39.992,1,6.0,False,,False,True
0 days 02:52:06.250000,VER,1,0 days 00:01:16.181000,57.0,3.0,,,0 days 00:00:20.012000,0 days 00:00:36.173000,0 days 00:00:19.996000,0 days 02:51:10.058000,0 days 02:51:46.231000,0 days 02:52:06.227000,198.0,198.0,259.0,266.0,False,HARD,6.0,False,Red Bull Racing,0 days 02:50:50.069000,2024-05-26 14:58:55.458,1,6.0,False,,False,True
0 days 02:53:20.819000,VER,1,0 days 00:01:14.569000,58.0,3.0,,,0 days 00:00:19.343000,0 days 00:00:35.377000,0 days 00:00:19.849000,0 days 02:52:25.570000,0 days 02:53:00.947000,0 days 02:53:20.796000,208.0,198.0,259.0,265.0,True,HARD,7.0,False,Red Bull Racing,0 days 02:52:06.250000,2024-05-26 15:00:11.639,1,6.0,False,,False,True
0 days 02:54:35.567000,VER,1,0 days 00:01:14.748000,59.0,3.0,,,0 days 00:00:19.543000,0 days 00:00:35.369000,0 days 00:00:19.836000,0 days 02:53:40.339000,0 days 02:54:15.708000,0 days 02:54:35.544000,,196.0,259.0,266.0,False,HARD,8.0,False,Red Bull Racing,0 days 02:53:20.819000,2024-05-26 15:01:26.208,1,6.0,False,,False,True
0 days 02:55:50.805000,VER,1,0 days 00:01:15.238000,60.0,3.0,,,0 days 00:00:19.399000,0 days 00:00:35.421000,0 days 00:00:20.418000,0 days 02:54:54.943000,0 days 02:55:30.364000,0 days 02:55:50.782000,,199.0,266.0,268.0,False,HARD,9.0,False,Red Bull Racing,0 days 02:54:35.567000,2024-05-26 15:02:40.956,1,6.0,False,,False,True
0 days 02:57:05.926000,VER,1,0 days 00:01:15.121000,61.0,3.0,,,0 days 00:00:19.450000,0 days 00:00:35.599000,0 days 00:00:20.072000,0 days 02:56:10.232000,0 days 02:56:45.831000,0 days 02:57:05.903000,206.0,198.0,267.0,269.0,False,HARD,10.0,False,Red Bull Racing,0 days 02:55:50.805000,2024-05-26 15:03:56.194,1,6.0,False,,False,True
0 days 02:58:22.487000,VER,1,0 days 00:01:16.561000,62.0,3.0,,,0 days 00:00:20.077000,0 days 00:00:36.108000,0 days 00:00:20.376000,0 days 02:57:25.980000,0 days 02:58:02.088000,0 days 02:58:22.464000,197.0,193.0,270.0,283.0,False,HARD,11.0,False,Red Bull Racing,0 days 02:57:05.926000,2024-05-26 15:05:11.315,1,6.0,False,,False,True
0 days 02:59:39.034000,VER,1,0 days 00:01:16.547000,63.0,3.0,,,0 days 00:00:20.125000,0 days 00:00:35.973000,0 days 00:00:20.449000,0 days 02:58:42.589000,0 days 02:59:18.562000,0 days 02:59:39.011000,205.0,195.0,269.0,284.0,False,HARD,12.0,False,Red Bull Racing,0 days 02:58:22.487000,2024-05-26 15:06:27.876,1,6.0,False,,False,True
0 days 03:00:55.653000,VER,1,0 days 00:01:16.619000,64.0,3.0,,,0 days 00:00:20.262000,0 days 00:00:36.106000,0 days 00:00:20.251000,0 days 02:59:59.273000,0 days 03:00:35.379000,0 days 03:00:55.630000,200.0,193.0,265.0,281.0,False,HARD,13.0,False,Red Bull Racing,0 days 02:59:39.034000,2024-05-26 15:07:44.423,1,6.0,False,,False,True
0 days 03:02:11.121000,VER,1,0 days 00:01:15.468000,65.0,3.0,,,0 days 00:00:19.616000,0 days 00:00:35.717000,0 days 00:00:20.135000,0 days 03:01:15.246000,0 days 03:01:50.963000,0 days 03:02:11.098000,204.0,197.0,267.0,282.0,False,HARD,14.0,False,Red Bull Racing,0 days 03:00:55.653000,2024-05-26 15:09:01.042,1,6.0,False,,False,True
0 days 03:03:27.242000,VER,1,0 days 00:01:16.121000,66.0,3.0,,,0 days 00:00:19.696000,0 days 00:00:35.898000,0 days 00:00:20.527000,0 days 03:02:30.794000,0 days 03:03:06.692000,0 days 03:03:27.219000,202.0,191.0,266.0,281.0,False,HARD,15.0,False,Red Bull Racing,0 days 03:02:11.121000,2024-05-26 15:10:16.510,1,6.0,False,,False,True
