Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,Track_Temp,WindDirection,WindSpeed,Cumulative_Tire_Distance,Driver_Meters,Driver_Ahead,Gap_Ahead,Driver_Behind,Gap_Behind
0 days 00:51:00.207000,VAN,2,0 days 00:01:19.629000,33.0,2.0,,,0 days 00:00:20.964000,0 days 00:00:37.257000,0 days 00:00:21.408000,0 days 00:50:01.594000,0 days 00:50:38.851000,0 days 00:51:00.259000,185.0,187.0,268.0,284.0,False,SUPERSOFT,13.0,True,McLaren,0 days 00:49:40.578000,2018-05-27 13:55:40.608,1,17.0,False,,False,True,27.6,45.2,1015.0,False,35.0,241.0,1.4,43381.0,110121.0,"('MAG',)",-0.653,"('GRO',)",-0.42000000000000004
0 days 00:52:19.799000,VAN,2,0 days 00:01:19.592000,34.0,2.0,,,0 days 00:00:21.114000,0 days 00:00:37.360000,0 days 00:00:21.118000,0 days 00:51:21.373000,0 days 00:51:58.733000,0 days 00:52:19.851000,186.0,188.0,266.0,285.0,False,SUPERSOFT,14.0,True,McLaren,0 days 00:51:00.207000,2018-05-27 13:57:00.237,1,17.0,False,,False,True,27.6,45.3,1014.9,False,35.2,169.0,1.1,46718.0,113458.0,"('MAG',)",0.106,"('GRO',)",0.079
0 days 00:53:39.441000,VAN,2,0 days 00:01:19.642000,35.0,2.0,,,0 days 00:00:20.982000,0 days 00:00:37.384000,0 days 00:00:21.276000,0 days 00:52:40.833000,0 days 00:53:18.217000,0 days 00:53:39.493000,,187.0,269.0,285.0,False,SUPERSOFT,15.0,True,McLaren,0 days 00:52:19.799000,2018-05-27 13:58:19.829,1,17.0,False,,False,True,27.45,45.95,1014.95,False,34.9,200.0,1.35,50055.0,116795.0,"('MAG',)",-0.277,"('GRO',)",0.086
0 days 00:55:00.074000,VAN,2,0 days 00:01:20.633000,36.0,2.0,,,0 days 00:00:21.538000,0 days 00:00:37.686000,0 days 00:00:21.409000,0 days 00:54:01.031000,0 days 00:54:38.717000,0 days 00:55:00.126000,175.0,185.0,267.0,284.0,False,SUPERSOFT,16.0,True,McLaren,0 days 00:53:39.441000,2018-05-27 13:59:39.471,1,17.0,False,,False,True,27.6,46.1,1015.0,False,35.2,196.0,2.1,53392.0,120132.0,"('MAG',)",0.178,"('GRO',)",-0.804
0 days 00:56:20.380000,VAN,2,0 days 00:01:20.306000,37.0,2.0,,,0 days 00:00:21.225000,0 days 00:00:37.560000,0 days 00:00:21.521000,0 days 00:55:21.351000,0 days 00:55:58.911000,0 days 00:56:20.432000,176.0,185.0,261.0,283.0,False,SUPERSOFT,17.0,True,McLaren,0 days 00:55:00.074000,2018-05-27 14:01:00.104,1,17.0,False,,False,True,27.6,45.9,1015.1,False,35.1,171.0,1.0,56729.0,123469.0,"('MAG',)",0.258,"('GRO',)",-0.357
0 days 00:57:39.991000,VAN,2,0 days 00:01:19.611000,38.0,2.0,,,0 days 00:00:21.027000,0 days 00:00:37.315000,0 days 00:00:21.269000,0 days 00:56:41.459000,0 days 00:57:18.774000,0 days 00:57:40.043000,191.0,188.0,270.0,285.0,False,SUPERSOFT,18.0,True,McLaren,0 days 00:56:20.380000,2018-05-27 14:02:20.410,1,17.0,False,,False,True,27.4,46.75,1015.05,False,35.3,183.5,1.35,60066.0,126806.0,"('MAG',)",-0.75,"('GRO',)",0.721
0 days 00:59:00.357000,VAN,2,0 days 00:01:20.366000,39.0,2.0,,,0 days 00:00:21.445000,0 days 00:00:37.613000,0 days 00:00:21.308000,0 days 00:58:01.488000,0 days 00:58:39.101000,0 days 00:59:00.409000,190.0,186.0,269.0,286.0,False,SUPERSOFT,19.0,True,McLaren,0 days 00:57:39.991000,2018-05-27 14:03:40.021,1,17.0,False,,False,True,27.4,47.5,1015.2,False,35.8,0.0,0.8,63403.0,130143.0,"('MAG',)",0.125,"('GRO',)",-0.406
0 days 01:00:21.116000,VAN,2,0 days 00:01:20.759000,40.0,2.0,,,0 days 00:00:21.213000,0 days 00:00:37.857000,0 days 00:00:21.689000,0 days 00:59:21.622000,0 days 00:59:59.479000,0 days 01:00:21.168000,195.0,178.0,260.0,286.0,False,SUPERSOFT,20.0,True,McLaren,0 days 00:59:00.357000,2018-05-27 14:05:00.387,1,17.0,False,,False,True,27.4,48.0,1014.9,False,35.9,177.0,1.3,66740.0,133480.0,"('MAG',)",0.742,"('GRO',)",-0.131
0 days 01:01:40.103000,VAN,2,0 days 00:01:18.987000,41.0,2.0,,,0 days 00:00:20.851000,0 days 00:00:37.130000,0 days 00:00:21.006000,0 days 01:00:42.019000,0 days 01:01:19.149000,0 days 01:01:40.155000,192.0,187.0,268.0,285.0,False,SUPERSOFT,21.0,True,McLaren,0 days 01:00:21.116000,2018-05-27 14:06:21.146,1,17.0,False,,False,True,27.5,47.6,1015.1,False,36.4,310.0,0.8,70077.0,136817.0,"('MAG',)",-0.614,"('GRO',)",1.7109999999999999
0 days 01:02:59.513000,VAN,2,0 days 00:01:19.410000,42.0,2.0,,,0 days 00:00:21.100000,0 days 00:00:37.290000,0 days 00:00:21.020000,0 days 01:02:01.255000,0 days 01:02:38.545000,0 days 01:02:59.565000,196.0,186.0,270.0,284.0,False,SUPERSOFT,22.0,True,McLaren,0 days 01:01:40.103000,2018-05-27 14:07:40.133,1,17.0,False,,False,True,27.4,48.9,1015.0,False,36.6,167.0,1.9,73414.0,140154.0,"('MAG',)",-0.138,"('GRO',)",0.916
